type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/OBJECTID,properties/ID,properties/INDEX_PARC,properties/NOM,properties/ARROND,properties/TYPE
Feature,Point,-73.5622259032,45.4649451254,689,010-0017,2893-000,Aire de planche à roulette,Verdun,Récréatif
Feature,Point,-73.559747653,45.5232408402,690,098-0002,0596-018,Jeu d'échecs,Ville-Marie,Récréatif
Feature,Point,-73.7176715406,45.5301484304,691,042-0022,0004-000,Jeux d'eau,Ahuntsic-Cartierville,Récréatif
Feature,Point,-73.6107796985,45.5964381267,692,005-0037,2867-000,Aire de jeu combiné,Saint-Léonard,Aire de jeu - enfant
Feature,Point,-73.6302559878,45.5375580354,693,021-0018,0401-000,Bocce,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
Feature,Point,-73.6898965556,45.503371601,694,003-0006,2797-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
Feature,Point,-73.5518097555,45.6638753246,695,004-0363,0924-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.6666996654,45.4287703516,696,071-0022,2470-000,Sentier pédestre,Lachine,Plein air
Feature,Point,-73.562534512,45.5715036373,697,003-0117,0210-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
Feature,Point,-73.5739257137,45.4898311979,698,054-0013,0311-000,Ping-pong,Le Sud-Ouest,Loisirs et détente
Feature,Point,-73.8810118237,45.4577897469,699,055-0034,2675-000,Piscine extérieure,Pierrefonds-Roxboro,Récréatif
Feature,Point,-73.5683107858,45.5520559668,700,048-0011,0219-000,Palet,Rosemont-La Petite-Patrie,Loisirs et détente
Feature,Point,-73.6778571291,45.5504304431,701,095-0018,0015-000,Pétanque,Ahuntsic-Cartierville,Loisirs et détente
Feature,Point,-73.5911075323,45.5928927884,702,054-0015,2852-000,Ping-pong,Saint-Léonard,Loisirs et détente
Feature,Point,-73.520499349,45.5811692093,703,049-0029,0102-000,Pastille - Basketball,Mercier-Hochelaga-Maisonneuve,Récréatif
Feature,Point,-73.5838836242,45.6040786825,704,050-0092,2010-000,Pataugeoire,Anjou,Récréatif
Feature,Point,-73.5285192406,45.5970625217,705,004-0412,0105-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
Feature,Point,-73.5582089549,45.445884104,706,012-0021,2937-000,Aire d'entraînement pour adultes,Verdun,Loisirs et détente
Feature,Point,-73.5339012383,45.5166177262,707,070-0019,0391-000,Sentier de ski de fond,Ville-Marie,Plein air
Feature,Point,-73.4927654164,45.6855950908,708,005-0029,1007-000,Aire de jeu combiné,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
Feature,Point,-73.7997744687,45.5081562111,709,004-0201,2713-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
Feature,Point,-73.5580895651,45.4559524504,710,073-0062-76-S2,2891-000,Soccer sous-terrain à 7,Verdun,Sportif
